Company_Name,Job,City,Time,Number_Recruitment,Sexual,Profession,Title,Level,Salary,Education,Experience,Description,Requirement,Right,Place,Number_Employee,Giới thiệu công ty,Work_Way,Deadline,Age,Probation_Time,Source_Picture,Job_URL
Cong Ty Co Phan Vien Thong Fpt,"Business Analyst (Middle IT Ba, HCM)",TP.HCM,14/03/2025,1,,IT Phan mem/,"Business Analyst (Middle IT Ba, HCM)",Chuyen gia,18 - 25 trieu,,2 nam,,,"Ghi chu: FPT Telecom khong thu bat ky chi phi nao cua Ung vien, Sinh vien trong qua trinh tuyen dung, thuc tap.","Lo 37-39A, duong 19, Khu che xuat Tan Thuan, P.Tan Thuan Dong, Quan 7, TP.Ho Chi Minh",Tren 300 nhan vien,"Cong ty Co phan Vien thong FPT (ten goi tat la FPT Telecom) hien la mot trong nhung nha cung cap dich vu Vien thong va Internet hang dau khu vuc.
Thanh lap ngay 31/01/1997, khoi nguon tu Trung tam Dich vu Truc tuyen do 4 thanh vien sang lap cung san pham mang Intranet dau tien cua Viet Nam mang ten ""Tri tue Viet Nam - TTVN"", san pham duoc coi la dat nen mong cho su phat trien cua Internet tai Viet Nam",Toan thoi gian co dinh,12/04/2025,32 - 34,4 thang,https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.png,https://vieclam24h.vn/it-phan-mem/business-analyst-middle-it-ba-hcm-c8p122id200527196.html?open_from=0201_15_11&search_id=ac7a5718660ec7d68e9e59e6de1fc761
CONG TY CO PHAN CONG NGHE VA THIET BI Y TE HELIX,Nhan Vien Trien Khai Phan Mem,Ha Noi,24/03/2025,5,,IT Phan mem/,Nhan Vien Trien Khai Phan Mem,Chuyen gia,8 - 12 trieu,,Chua co kinh nghiem,"Ky su trien khai du an IT lam viec tai Ha Noi. 
- Trien khai, lap dat he thong CNTT chuyen ve hinh anh Y Khoa (PACS) tai cac Benh Vien, co so y te. 
- Theo doi, giam sat hoat dong cua he thong, dam bao he thong van hanh lien tuc. 
- Dao tao, huong dan nguoi dung su dung cac phan mem ung dung. 
- Ho tro nguoi dung trong suot qua trinh su dung ung dung. 
- Thuc hien cac hoat dong bao hanh, bao tri he thong va xu ly cac su co phat sinh. 
- Phoi hop cac phong ban khac trong phan tich nghiep vu, phat trien va trien khai phan mem.","- Tot nghiep cao dang/dai hoc chuyen nganh CNTT, dien tu vien thong....","- Muc luong chinh thuc co ban tu 8.000.000 VND - 12.000.000 VND hoac cao hon tuy vao nang luc, kinh nghiem va thoa thuan truc tiep trong qua trinh phong van. 
- Thuong theo nang luc, thuong theo du an, thuong cuoi nam. 
- Cac che do khac theo quy dinh cua nha nuoc (BHXH, BHYT,..). 
- Moi truong lam viec nang dong, phat trien on dinh trong linh vuc CNTT nganh Y Te 
- Co co hoi tham gia lop dao tao do chuyen gia cua Hang trong va ngoai nuoc huong dan.","75 Phuong Mai, Dong Da, Ha Noi",Duoi 10 nhan vien,"Cong ty Co phan XNK Cong nghe thiet bi Vat tu Y te Ha Noi duoc thanh lap ngay 22 / 11 / 2011, dat tru so tai: So 377, Duong Trung Van, Phuong Trung Van, Quan Nam Tu Liem, TP.Ha Noi.
Trong qua trinh 10 nam hinh thanh va phat trien, Cong ty da xay dung duoc he thong doi ngu nhan vien va lanh dao chuyen nghiep hoa, gom nhieu thanh vien da co kinh nghiem lau nam trong cac cong ty lon, dau nganh. Thuc hien nhieu hop dong cung cap Thiet bi y te, vat tu tieu hao, hoa chat cho nhieu don vi va ca nhan, duoc danh gia cao ve nang luc trien khai du an, trinh do chuyen mon cua doi ngu can bo, cung nhu chat luong kinh doanh va dich vu doi voi khach hang.
Mo hinh van hanh hoat dong cong ty duoc bo tri theo chieu ngang, lam gia tang su thuan tien trong viec van hanh co may kinh doanh va gia tang su phoi hop thong nhat giua cac bo phan trong cong ty.",Toan thoi gian co dinh,24/04/2025,28 - 30,3 thang,https://cdn1.vieclam24h.vn/images/employer_avatar/2021/10/12/images/163402217072.jpeg,https://vieclam24h.vn/it-phan-mem/nhan-vien-trien-khai-phan-mem-c8p73id200534179.html?open_from=0201_2_23&search_id=61356cc9e5bda1472aacb8b4b02bb760
Cong ty Co Phan Dau Tu Cong Nghe HACOM,Nhan Vien Ban Hang Sieu Thi - Thu Nhap Len Den 13 Trieu,Ha Noi,01/04/2025,3,Nu,IT Phan cung - Mang,Nhan Vien Ban Hang Sieu Thi - Thu Nhap Len Den 13 Trieu,Chuyen vien- nhan vien,10 - 13 trieu,,1 nam,,,,131 Le Thanh Nghi - Hai Ba Trung - Ha Noi,Tren 300 nhan vien,"Cong ty Co phan Dau tu Cong nghe HACOM (HACOM), tien than la Cong ty Co phan May tinh Ha Noi (HNC - Hanoicomputer) la mot trong nhung doanh nghiep tien phong tai Ha Noi trong linh vuc Kinh doanh cac san pham CNTT va thiet bi van phong. Thanh lap tu nam 2001 den nay, cong ty da tao duoc cho dung vung chac tren thi truong ban buon, ban le. Tro thanh thuong hieu quen thuoc va la doi tac tin cay cua nhieu ban hang trong nuoc va Quoc te. Voi chang duong hon 20 nam tang truong va phat trien khong ngung, cung phuong cham kinh doanh ""Uy tin tao dung niem tin"" chung toi luon mong muon tim kiem doi ngu cbnv chuyen nghiep, nhiet huyet, day nang luc va co mong muon xay dung su nghiep ben vung va lau dai tai HACOM.",Toan thoi gian co dinh,28/04/2025,18 - 30 tuoi,8 thang,https://cdn1.vieclam24h.vn/images/default/2024/05/30/img-1717065427145_171706542861.png,https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ban-hang-sieu-thi-thu-nhap-len-den-13-trieu-c6p73id200540607.html?open_from=0201_6_13&search_id=812c40f8ad4ea2547431bb64e6549359
Cong Ty TNHH Dien Tu Cong Nghe Tuong An - T.A.K.O,Nhan Vien Ky Thuat Bao Hanh,Ha Noi,04/04/2025,5,Nam,IT Phan cung - Mang/,Nhan Vien Ky Thuat Bao Hanh,Chuyen vien- nhan vien,9 - 11 trieu,Trung cap,1 nam,,,,"Dia chi : So 3, lo 1C (ngo 58 Trung Kinh re phai), khu do thi Trung Yen, Cau Giay, Ha Noi",150 - 300 nhan vien,"Thanh lap tu nam 2000, Tuong An la mot cong ty kinh doanh chuyen ve phu kien vi tinh, thiet bi mang va cac thiet bi ngoai vi. Voi moi truong lam viec nang dong va hieu qua, chung toi xay dung doi ngu nhan vien chuyen nghiep, nhiet tinh, tinh than trach nhiem cao, de dua cong ty phat trien nhanh, di dau trong linh vuc kinh doanh cua minh.",Toan thoi gian co dinh,16/04/2025,33 - 35,1 thang,https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/2f8a49fddfa9a372ab926be068e67472_1460014966_tako.png,https://vieclam24h.vn/khoa-hoc-ky-thuat/nhan-vien-ky-thuat-bao-hanh-c34p73id200520055.html?open_from=0201_1_5&search_id=bd0530514a6f16502f4b62797a203046
Cong Ty TNHH Horus Productions,IT Support Supervisor,Ha Noi,24/03/2025,1,,IT Phan mem,IT Support Supervisor,Chuyen vien- nhan vien,9 - 12 trieu,,1 nam,,,,VOV - Me Tri - Nam Tu Liem - Ha Noi,10 - 150 nhan vien,,Toan thoi gian co dinh,03/05/2025,31 - 33,7 thang,https://cdn1.vieclam24h.vn/images/employer_avatar/2025/03/24/z6437938434901_aeb0cac9d0f0eb87c367d72684fb48bf_174281268278.jpg,https://vieclam24h.vn/it-phan-mem/it-support-supervisor-c8p73id200533125.html?open_from=0201_13_9&search_id=1389307a16061f3e6820ca0fe2b151a2
Cong Ty Co Phan Iagree Viet Nam,Full Stack Developer,TP.HCM,18/03/2025,1,,IT Phan mem,Full Stack Developer,Chuyen vien- nhan vien,12 - 14 trieu,Dai hoc,1 nam,"About the job; The ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to design, develop, and maintain our next generation websites and web tools. You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.; Responsibilities; Revise, edit, proofread & optimize web content Work with cross-functionally to enhance overall user experience of our platforms Own various design tasks involved in the web development life cycle from start to finish","Bachelor's degree or equivalent experience in Computer Science At least 1 - 2 years' of experience using HTML, CSS, and JavaScript Proficiency in at least one server-side technology (Java, PHP, NodeJS, Python, Ruby) Ability to multi-task, organize, and prioritize wor","Salary & Bonuses: Competitive salary, performance-based bonuses, and regular salary reviews.; Career Growth & Training: Clear career path, professional training, and learning support.
Benefits: Additional paid leave, health insurance, meal & transportation allowances.
Work Environment: Open, creative culture with regular team-building activities.","Lau 5 so 256 Nguyen Thi Minh Khai, Phuong Vo Thi Sau, Quan 3",10 - 150 nhan vien,,Toan thoi gian co dinh,14/04/2025,22 - 24,2 thang,https://vieclam24h.vn/img/vieclam24h_logo_customer.jpg,https://vieclam24h.vn/it-phan-mem/full-stack-developer-c8p122id200529225.html?open_from=0201_14_23&search_id=77a7724518e940a033ccee199f377709
Cong Ty TNHH Fusion Group,Nhan Vien Thiet Ke Do Hoa - Thu Nhap Toi 15 Trieu,"Hung Yen,",21/03/2025,1,Nu,IT Phan cung - Mang,Nhan Vien Thiet Ke Do Hoa - Thu Nhap Toi 15 Trieu,Chuyen vien- nhan vien,11 - 15 trieu,,1 nam,"; Thoi gian lam viec:; Dia chi Hung Yen: tu Thu 2 - Thu 7, tu 8h00 - 17h00 (nghi 2 Thu 7 cach tuan); Dia chi Ha Noi: tu Thu 2 - Thu 6, tu 8h30 - 17h30 (nghi T7 & CN)",,,"Lo CN1- Khu Cong nghiep Yen My, Xa Trung Hoa, Huyen Yen My, Tinh Hung Yen, Viet Nam",10 - 150 nhan vien,"Fusion Group Co, Ltd duoc thanh lap vao nam 2015 boi Tong giam doc Cho Young Jun, ong co niem dam me chay bong voi vat nuoi, dac biet la cho meo. Ong da nghien cuu rat nhieu ve vat nuoi va thuc an vat nuoi favorit. Ong thuc hien phan tich cac thanh phan cua tat ca cac nha san xuat thuc an vat nuoi cao cap tren the gioi. Dua tren thuc te ong phat hien ra cac cong thuc co the tao ra mot tieu chuan dinh duong ly tuong cho vat nuoi, san pham ong tim ra chinh la ANF - mot san pham huu co noi tieng so 1 o Han Quoc",Toan thoi gian co dinh,20/04/2025,24 - 26,1 thang,https://cdn1.vieclam24h.vn/images/default/2022/01/18/images/164247755599.png,https://vieclam24h.vn/thiet-ke-sang-tao-nghe-thuat/nhan-vien-thiet-ke-do-hoa-thu-nhap-toi-15-trieu-c3p93id200532018.html?open_from=0201_8_28&search_id=d4fa8a193e9199f29018e7f855bc14ef
Cong Ty TNHH Dich Vu Quoc Te Bac Nam,Chuyen Vien Media Quay Dung,Ha Noi,02/04/2025,1,,IT Phan mem/,Chuyen Vien Media Quay Dung,Chuyen vien- nhan vien,8 - 12 trieu,,1 nam,"1.Quay chup; -Quay phim, chup anh, phoi hop voi thiet ke dung video (am thanh, hinh anh, ky xao...) cho cac clip quang cao cua cong ty.
- Xay dung ke hoach, len y tuong thuc hien he thong video, hinh anh san pham dich vu...cua cong ty.
- Tim kiem video hay, phu hop va co chat luong.; 2.Xu Ly Hinh anh:; - Chiu trach nhiem sang tao, bien tap va danh gia chat luong noi dung tren Fanpage Facebook.
- Xay dung kho luu tru video, hinh anh cac noi dung lien quan toi hoat dong cua cong ty.
- Dung phim, thiet ke, cat/ghep noi dung, tao hieu ung cho Video, cat noi hinh anh,.. san xuat clip quang cao (CTKM, kich ban theo phan canh), viral, CTKM,...cac mang hoat dong theo KH kinh doanh cua cong ty; 3.Su kien; - Tham gia quay chup cac hoat dong su kien truyen thong tai diem ban.
- To chuc quay phim, chup anh, dan dung album, clip truyen thong noi bo phuc vu xay dung va phat trien van hoa doanh nghiep (dao tao, event noi bo dinh ky,...)
- Phoi hop voi cac bo phan lien quan bien tap, tong hop, sang tao noi dung video.
-    Ho tro ky thuat cho cac su kien livestream, quang cao video tren cac nen tang nhu Facebook, YouTube, TikTok.","-    Kinh nghiem lam hau ky it nhat 6 thang (bao gom quang & dung video), uu tien ung vien co ky nang ve cac linh vuc khac co lien quan: animation, motion graphic...)
-    Ung vien co kinh nghiem ve cac san pham me va be la loi the
-    Su dung tot cac cong cu, phan mem can thiet cho cong viec
-    Co kha nang sap xep, to chuc cong viec & tuan thu deadline
-    Chuyen nghiep, trung thuc, nang dong, co trach nhiem voi cong viec va chiu kho hoc hoi.
-    Co ky nang giao tiep va lam viec nhom tot","-Luong, thuong hap dan; -Duoc tham gia bao hiem xa hoi theo quy dinh; -Duoc xet tang luong hang nam; -Thoi gian thu viec: 2 thang; -Duoc tham gia BYXH, BHYT, BHTN theo quy dinh; -Thuong le, Tet, sinh nhat, om dau, che do hieu hy theo quy dinh cua cong ty; -Hang nam cong ty deu to chuc tham quan du lich cho CBCNV","So nha 12, Duong 2 - Xa Mai Dinh - Huyen Soc Son - Ha Noi.",10 - 150 nhan vien,"Cong ty TNHH Dich vu quoc te Bac Nam la don vi hang dau trong linh vuc nhap khau va phan phoi cac dong san pham hang ngoai noi dia cao cap cac nghanh Me be, tieu dung, cham soc suc khoe va sac dep toan dien. Trong suot thoi gian hoat dong den nay, chung toi la Doi tac uy tin cua nhieu nhan hang noi tieng tren the gioi nhu: Aptamil, Blackmores, Ensure, Pediasure, Healthycare, A2 Milk...cung nhieu cac nhan thuong hieu khac den tu cac nuoc nhu Uc, My, Chau Au.",Toan thoi gian co dinh,15/04/2025,31 - 33,3 thang,https://cdn1.vieclam24h.vn/images/employer_avatar/2022/02/18/images/164516880660.jpeg,https://vieclam24h.vn/it-phan-mem/chuyen-vien-media-quay-dung-c8p73id200542675.html?open_from=0201_5_17&search_id=767bd5516ef4ecc0c8670f2c6162e247
Chi Nhanh Tai Thanh Pho Ho Chi Minh - Cong Ty Co Phan Dau Tu Thuong Mai Va Phat Trien Cong Nghe Fsi,Thuc Tap Sinh Kinh Doanh Du An,TP.HCM,01/04/2025,3,,IT Phan mem/,Thuc Tap Sinh Kinh Doanh Du An,Chuyen vien- nhan vien,2 - 3 trieu,,Duoi 1 nam,,,"Duoc dao tao cac ky nang trong mang kinh doanh du an CNTT; Duoc lam viec trong cac du an so hoa lon; Ho tro luong va dau moc thuc tap; Moi truong lam viec nang dong sang tao, co hoi phat trien len  vi tri chinh thuc","Tang 09, Toa nha Lottery Tower, so 77 Tran Nhan Ton, Phuong 09, Quan 5, Thanh pho Ho Chi Minh, Viet Nam",10 - 150 nhan vien,"Thanh lap nam 2007, Cong ty CP Dau tu Thuong mai va Phat trien Cong nghe FSI hoat dong tren cac linh vuc: Hien FSI la Nha cung cap hang dau trong linh vuc giai phap, dich vu so hoa tai lieu va Tich hop he thong Cong nghe thong tin. FSI la nha phan phoi doc quyen, duy nhat May scan Plustek, Kodak, SMA tai thi truong mien Bac, Nha phan phoi doc quyen may scan, in kho A0 cua ROWE tai khu vuc Dong Duong, Gold Partner cua Hp, IBM, Canon, Fujitsu... FSI da trien khai thanh cong nhieu du an so hoa tai lieu, tich hop he thong trong diem tai cac Bo, So, Nganh cua Ha Noi va cac tinh",Thuc tap,30/04/2025,30 - 32,7 thang,https://cdn1.vieclam24h.vn/company-logo-medium/122019/39X05KyYmkqC2wRk16DlecT1NUc1b3MePvXOEbLm.png,https://vieclam24h.vn/it-phan-mem/thuc-tap-sinh-kinh-doanh-du-an-c8p122id200541307.html?open_from=0201_5_30&search_id=767bd5516ef4ecc0c8670f2c6162e247
Cong Ty TNHH Atixis Viet Nam,Chuyen Vien Phat Trien Full Stack (Full Stack Development Executive),TP.HCM,17/03/2025,1,,IT Phan cung - Mang/,Chuyen Vien Phat Trien Full Stack (Full Stack Development Executive),Chuyen vien- nhan vien,20 - 40 trieu,Dai hoc,3 nam,"You will be based in Vietnam, working closely with developers in Paris.; ; Ban se lam viec tai Viet Nam va hop tac chat che voi cac nha phat trien tai Paris.",,,"Tang 5, Toa nha IOS Van Thanh, 602/27 Dien Bien Phu - Phuong 22 - Quan Binh Thanh - TP Ho Chi Minh",10 - 150 nhan vien,,Toan thoi gian co dinh,17/04/2025,33 - 35,2 thang,https://vieclam24h.vn/img/vieclam24h_logo_customer.jpg,https://vieclam24h.vn/it-phan-cung-mang/chuyen-vien-phat-trien-full-stack-full-stack-development-executive-c7p122id200528222.html?open_from=0201_14_30&search_id=77a7724518e940a033ccee199f377709
